quality,intent,original_query,edited_query,type,suggested_edits,missing_info,approved,notes
HIGH,recommend_movie_by_name,Gợi ý phim giống Inception,Gợi ý phim giống Inception,original,,,yes,AUTO-APPROVED (HIGH quality)
HIGH,recommend_movie_by_name,Đề xuất phim tương tự Inception,Đề xuất phim tương tự Inception,paraphrase,,,yes,AUTO-APPROVED (HIGH quality)
HIGH,recommend_personalization,Phim nào hợp với tôi nhất,Phim nào hợp với tôi nhất,paraphrase,,,yes,AUTO-APPROVED (HIGH quality)
HIGH,recommend_personalization,Cho tôi đề xuất phim được cá nhân hóa,Cho tôi đề xuất phim được cá nhân hóa,paraphrase,,,yes,AUTO-APPROVED (HIGH quality)
HIGH,recommend_personalization,Gợi ý phim phù hợp với sở thích của tôi,Gợi ý phim phù hợp với sở thích của tôi,paraphrase,,,yes,AUTO-APPROVED (HIGH quality)
HIGH,recommend_personalization,Đề xuất phim cá nhân hóa cho tôi,Đề xuất phim cá nhân hóa cho tôi,paraphrase,,,yes,AUTO-APPROVED (HIGH quality)
HIGH,recommend_personalization,Gợi ý phim cá nhân cho tôi,Gợi ý phim cá nhân cho tôi,original,,,yes,AUTO-APPROVED (HIGH quality)
HIGH,recommend_movie_by_name,Gợi ý cho tôi phim tương tự Avatar,Gợi ý cho tôi phim tương tự Avatar,paraphrase,,,yes,AUTO-APPROVED (HIGH quality)
HIGH,recommend_movie_by_name,Phim nào giống với Avatar,Phim nào giống với Avatar,paraphrase,,,yes,AUTO-APPROVED (HIGH quality)
HIGH,recommend_movie_by_name,Có phim nào như Avatar không,Có phim nào như Avatar không,paraphrase,,,yes,AUTO-APPROVED (HIGH quality)
HIGH,recommend_movie_by_name,Đề xuất phim giống Avatar,Đề xuất phim giống Avatar,paraphrase,,,yes,AUTO-APPROVED (HIGH quality)
HIGH,recommend_movie_by_name,Tìm phim tương tự Avatar,Tìm phim tương tự Avatar,paraphrase,,,yes,AUTO-APPROVED (HIGH quality)
HIGH,recommend_movie_by_name,Tìm phim tương tự Avatar,Tìm phim tương tự Avatar,original,,,yes,AUTO-APPROVED (HIGH quality)
HIGH,recommend_movie_by_name,Tôi muốn xem phim giống Inception,Tôi muốn xem phim giống Inception,paraphrase,,,yes,AUTO-APPROVED (HIGH quality)
HIGH,recommend_movie_by_name,Phim nào có nội dung tương tự Inception,Phim nào có nội dung tương tự Inception,paraphrase,,,yes,AUTO-APPROVED (HIGH quality)
HIGH,recommend_movie_by_name,Gợi ý cho tôi phim như Inception,Gợi ý cho tôi phim như Inception,paraphrase,,,yes,AUTO-APPROVED (HIGH quality)
HIGH,recommend_movie_by_name,Có phim nào giống Inception không,Có phim nào giống Inception không,paraphrase,,,yes,AUTO-APPROVED (HIGH quality)
HIGH,recommend_personalization,Đưa ra gợi ý phim dựa trên profile của tôi,Đưa ra gợi ý phim dựa trên profile của tôi,paraphrase,,,yes,AUTO-APPROVED (HIGH quality)
